title,employer,location,date_posted,posted,primary_field,category,preferred_education,salary,type,employment_type,job_description,employer_about,link,postgraduates,undergraduates,endowment,established,campus,academic_staff,latitude,longitude
"Director, Programs and Audience Engagement","National Museum of American History, Smithsonian Institution","Washington, D.C.","October 23, 2017",1 Week Ago,United States/North America,"History Education, Other, US/North America",,Open,- Experienced,Other,"Director of Programs and Audience Engagement Opportunity åÊ Smithsonian Institution National Museum of American History Kenneth E. Behring Center Office of Audience Engagement åÊ Position involves: Managing a creative and energetic team responsible for producing the Museum‰Ûªs signature programs and events including the Smithsonian Jazz Initiative, Smithsonian Food History, Religion in America Initiative and additional events that promote national civic discourse Supervising the museum‰Ûªs social media and outreach teams, including the Museum‰Ûªs email newsletters, event marketing campaigns, daily social media engagement, Museum‰Ûªs blog, and targeted social media campaigns Developing national partnerships to extend the reach of Smithsonian programming, research, and outreach and building relationships with donors and partners that lead to long-term sustained fundraising to support priority museum projects Budget management, financial planning, proposal development, and report writing are all key components of the role Salary Information GS-13 - $94,796 annually with promotion potential, including an excellent benefits package Open through Monday, November 13th, on www.usajobs.gov. Please see Director of Programs & Audience Development announcement # 17R-SB-303169-DEU-NMAH Contact Abigail Karow with questions: NMAHApplications@si.edu or (202) 633-3584 The Smithsonian is an Affirmative Action/Equal Opportunity Employer. Women, minorities, people with disabilities, and candidates of all backgrounds are encouraged to apply.","Abigail Karow - NMAH Human Resources Assistant, Smithsonian Institution, National Museum of American History 
Contact Information: (202) 633-3584; NMAHApplications@si.edu",http://careers.historians.org/jobs/10389014/director-programs-and-audience-engagement,,,,,,,38.8912793,-77.0300509
Visiting Assistant Professor of History (Middle East/ South Asian History),Denison University,"Granville, Ohio","October 23, 2017",1 Week Ago,Middle East/North Africa,"Asia, Middle East/North Africa",Doctorate,Open,- Experienced,Visiting Faculty,"The History Department at Denison University invites applications for a one-year visiting position in the history of the Middle East or South Asia to begin in Fall 2018. Teaching responsibilities in a 3/3 load include a two-semester introductory survey sequence in the Middle East or South Asia and upper level seminars in the candidate‰Ûªs areas of expertise. Ability to teach courses in the pre-modern period is desirable. Denison is an increasingly diverse, highly selective, residential liberal arts college enrolling approximately 2,100 students from across the nation and around the world. We are located thirty miles from Columbus, Ohio, the state capital, which hosts a wide range of cultural, artistic, and outdoor opportunities. Our college is committed to attracting and supporting a diverse range of faculty and students. The department is a dedicated group of teacher-scholars who value both teaching and research excellence as well as active service to the institution. Ph.D. in History and college-level teaching experience preferred. Application materials must be submitted online at https://employment.denison.edu. Review of applications will begin on January 2, 2018 and will continue until the position is filled. Applications must include a letter of application that includes discussion of the candidate‰Ûªs scholarship, teaching interests and philosophy, and potential to foster diversity among students and the larger campus community, a C.V., at least one sample syllabus, an unofficial transcript, and three letters of recommendation. To achieve our mission as a liberal arts college, we continually strive to foster a diverse campus community, which recognizes the value of all persons regardless of religion, race, ethnicity, gender identity or expression, sexual orientation, disability, family configuration, socio-economic background, national origin, age, or military status. For additional information and resources about diversity at Denison, please see our Diversity Guide at http://denison.edu/forms/diversity-guide. Denison University is an Affirmative Action, Equal Opportunity Employer.  

						
							
								
								 
							
						
							
								Internal Number: F 121300106","Denison, located just 30 miles from the Columbus, OH, metropolitan area, is an increasingly diverse, highly-selective, residential liberal arts college enrolling approximately 2100 students from across the nation and around the world. Our college is committed to attracting and supporting a diverse range of faculty and students. The department is a dedicated group of teacher-scholars who value both teaching and research excellence as well as active service to the institution.",http://careers.historians.org/jobs/10402788/visiting-assistant-professor-of-history-middle-east-south-asian-history,,2150.0,783000000.0,1831.0,930.0,235.0,40.0734583,-82.5223309
Postdoctoral Fellowship in Judeo-Spanish Studies,Northwestern University,"Evanston, Illinois","October 20, 2017",1 Week Ago,Open,Humanities,Doctorate,Open,- Experienced,Fellowship,"Northwestern University invites applications for The Sava Ranisavljevic Postdoctoral Fellowship in Judeo-Spanish Studies beginning September 1, 2018. The fellow will spend two years at the university and will be required to teach two courses per year and offer an annual public lecture about her/his postdoctoral research related to Judeo-Spanish studies. åÊThe search committee welcomes applications from scholars working in the fields of history, literature, linguistics, religion, Sephardic studies, Latin American and/or Iberian Studies, etc. The fellow will be affiliated with the appropriate department and/or program. To view the complete announcement for this position and apply, please visit https://facultysearch.weinberg.northwestern.edu/apply/index/MjYx The following materials should be included with the application:  CV and university transcripts Abstract of the PhD dissertation A writing sample A description of research to be pursued during the fellowship year Evidence of teaching effectiveness Three letters of recommendation Two sample syllabi of courses you propose to offer  Please direct any questions to E. Raluca Rustandi, Department Assistant, Department of Spanish and Portuguese, Crowe Hall 3-107, Evanston, IL, 60208, raluca@northwestern.eduåÊ The academic year salary is $60,000, with access to $2,000 in research funds.åÊ Eligibility is restricted to applicants who have received the Ph.D. after September 1st, 2015 and do not hold concurrent employment at another institution. All requirements of the PhD must be completed by Sept. 1, 2018. Review of applications will begin January 15th, 2018. Northwestern University is an Equal Opportunity, Affirmative Action Employer of all protected classes including veterans and individuals with disabilities. Women, racial and ethnic minorities, individuals with disabilities, and veterans are encouraged to apply. Hiring is contingent upon eligibility to work in the United States.","Northwestern is recognized nationally and internationally for its educational programs.Northwestern is home to a dozen colleges and schools across three campuses: a 240-acre campus in Evanston, a 25-acre campus in Chicago and a third campus in Doha, Qatar.Schools and CollegesOur schools are listed below, with year of founding.    Weinberg College of Arts & Sciences (1851)    School of Communicatio...n (1878)    School of Education & Social Policy (1926)    McCormick School of Engineering & Applied Science (1909)    Graduate School (1910)    Medill School of Journalism, Media, Integrated Marketing Communications (1921)    Pritzker School of Law (1859)    Kellogg School of Management (1908)    Feinberg School of Medicine (1859)    Bienen School of Music (1895)    School of Professional Studies (1933)    Northwestern University in Qatar (2008)
			Show more
			Show less",http://careers.historians.org/jobs/10393899/postdoctoral-fellowship-in-judeo-spanish-studies,12855.0,8353.0,9648000000.0,1851.0,240.0,3401.0,42.0564594,-87.675267
"Assistant Professor, History",Columbia College Chicago,"Chicago, Illinois","October 19, 2017",2 Weeks Ago,Open,African American,Doctorate,Open,- Experienced,Full-Time Tenure-Track/Tenured Faculty,"Columbia College Chicago is searching for four tenure-track positions in a cluster hire focused on Diversity, Equity, and Inclusion (DEI) to begin in Fall 2018. We will be searching for positions in History, Theatre, Cinema and Television, and Interactive Arts and Media. We seek individuals in these fields whose work specifically addresses the lives and experiences of communities of color in the United States, and whose work delves into an artistic or scholarly engagement that articulates the cultural productions and nuances of these communities and examines how their contributions and this body of knowledge can help expand our College‰Ûªs curriculum. Each of the individuals hired in these positions, along with holding a faculty line in their respective departments, will work alongside the Dean of Academic Diversity, Equity, and Inclusion to help expand the curricular offerings of the college and move forward our initiatives on DEI. For more information on the office of Academic Diversity, Equity, and Inclusion please visit: colum.edu/diversity The Department of Humanities, History, and Social Sciences (HHSS) seeks a full-time, tenure-track scholar of nineteenth and/or twentieth century African American history.åÊ Scholars with a broad range of interests related to the African Diaspora, American race relations from Reconstruction to the present, gender, and the urban experience are especially encouraged to apply.åÊ Demonstrated ability and motivation to teach undergraduates and non-majors in a liberal arts and media institution are essential.åÊ Duties & Responsibilities  Teach three courses per semester Contribute to curriculum development Produce scholarship consistent with department and college tenure criteria Serve on departmental and college-wide committees  Qualifications  Applicants must hold a Ph.D. in the discipline of history by the time of appointment on August 16, 2018.åÊ  To ensure consideration, applicants should submit the following as one document (.doc .docx or .pdf) to https://colum.taleo.net/careersection/jobdetail.ftl?job=1700004Y:  Letter of application Curriculum Vitae StatementofåÊTeaching Philosophy Sample Publication (if appropriate)  Candidates considered for interviews will be asked to provide three letters of reference and evidence of successful teaching at the time of invitation. Review of applications will begin November, 15, 2017 and continue until the position is filled. At Columbia, we offer a rewarding work environment for our faculty and staff. We take pride in offering competitive benefits with affordable health, dental and vision coverage; flexible spending accounts; commuter benefit program, life and accidental, death & dismemberment coverage; paid and unpaid leave options; work/life benefits; educational assistance programs; and retirement and financial planning benefits. We invite you to join our talented faculty and staff and become part of our collective aspiration to ensure Columbia prepares students for success in their creative fields through innovation, engagement and real-world experiences. Additional Information Position subject to a background screening. This is a non-union position. Candidates from underrepresented minority groups and who have a strong commitment to enhancing diversity in academia and an interest in mentoring diverse students from underrepresented backgrounds are encouraged to apply. Columbia College Chicago is an EEO Employer","Columbia College Chicago, an acclaimed higher education institution set in the heart of Chicago, with over 7,300 undergraduate and graduate students, offering a distinctive curriculum that blends liberal arts, creative and media arts and business.",http://careers.historians.org/jobs/10392550/assistant-professor-history,471.0,9671.0,142600000.0,1890.0,,2000.0,41.8742257,-87.6244445
"Dean, College of Arts and Letters",James Madison University,"Harrisonburg, Virginia","October 18, 2017",2 Weeks Ago,Other,Other,Doctorate,Open,- Experienced,Management/Leadership,"James Madison University (JMU) invites applications and nominations for Dean of the College of Arts and Letters (CAL) who champions the vital role of the liberal arts and social sciences, by advocating for the essential contributions of the CAL disciplines in promoting knowledge and skills that can be applied in response to the social, political, ethical and environmental challenges facing our region, our nation and our world. Reporting to the Provost, and serving on the senior academic leadership team, the Dean provides academic, intellectual, administrative and budgetary leadership for the College. In collaboration with academic unit heads, the Dean encourages a highly stimulating and creative learning environment for faculty and students, while supporting academic unit autonomy. The Dean champions recruitment, development, inclusion and retention of diverse and highly qualified faculty, students and staff. Working collaboratively with academic units, the Dean develops and leads strategic priorities for the College and its programs. The Dean raises the visibility of the College by representing all its disciplines to internal and external constituents and by advocating for faculty and student interests through advancement and development endeavors. The Dean advances academic unit efforts by supporting faculty research and creative endeavors, various teaching methods, curricular innovations, and other scholarly activities. As a transformative leader, the Dean facilitates innovation, communication and coordination of the College‰Ûªs initiatives in fulfilling JMU‰Ûªs vision to be the national model of the engaged university. The College offers high-quality programs of specialized study in the social sciences, humanities and communication including several pre-professional and cross-disciplinary areas. CAL has 260 full-time faculty, 46 staff, 3,200 undergraduate majors and 125 graduate students. In line with the university‰Ûªs commitment to engaged learning and ethical reasoning practices, the College‰Ûªs array of challenging courses promotes lifelong learning by sharpening analytical abilities, improving communications skills, cultivating facility with written expression, enhancing cultural awareness, intensifying moral and aesthetic sensitivity, and enriching understanding of the way historical contexts inform the production of knowledge. College academic units include Departments of English; Foreign Languages, Literatures and Cultures; History; Justice Studies; Philosophy and Religion; Political Science; Sociology and Anthropology; and Schools of Communication Studies; Media Arts and Design; and Writing, Rhetoric and Technical Communication. All academic units actively participate in the university‰Ûªs General Education program. The College is committed to global engagement including a variety of faculty-led short-term and semester-long study abroad experiences for students. The faculty excels in teaching and values intellectual inquiry, scholarly and peer-reviewed research and creative endeavors. Faculty are committed to providing high impact learning experiences for students framed within a strong liberal arts tradition, creating environments for a rich exchange between faculty and students. JMU seeks a dynamic and collaborative leader who possesses the following required qualifications:  Earned doctorate in a discipline relevant to the College; Strong record of teaching, research, and university/professional service commensurate with an appointment as a tenured, full professor in one of the College‰Ûªs departments or schools; Strong record of supporting and mentoring faculty and students; Demonstrated commitment to increasing and strengthening diversity and inclusion among students, faculty and staff; Demonstrated record of success as an academic unit head, chair or a similar position in academic administration; Demonstrated commitment to excellence in undergraduate education and research; Commitment to collaborating with The Graduate School to support strong graduate programs; Success in building relationships with external constituents to increase visibility and financial support for the College; Evidence of strong communication and interpersonal skills, as well as a collaborative and transparent leadership style.  Additional factors that are of interest to the search committee include:  Ability to advance interdisciplinary initiatives, including digital initiatives that extend the accessibility of faculty research and creative endeavors; Record of innovation, creativity, and advocacy; Effective and collegial work with other leaders from a wide range of academic disciplines; Evidence of fostering community engagement and outreach; and Experience supporting faculty development.  Apply atåÊhttp://joblink.jmu.edu/postings/2189 Additional Posting Information Applications will be accepted until the position is filled, with review of applications to begin November 15, 2017. The desired start date is July 1, 2018. Salary will be commensurate with experience. James Madison University accepts applications only through JobLink (joblink.jmu.edu). Applications must include:  A Cover Letter of no more than two pages that summarizes how the candidate‰Ûªs experiences align with required qualifications A current Curriculum Vitae Other Document #1: A concise (500-1,000 words) statement describing the candidate‰Ûªs vision for leadership (to include opportunities, strategies, and challenges) in each of the following areas:  The centrality of the liberal arts in preparing twenty-first-century citizens and leaders, Opportunities to support and develop the scholarship and teaching profiles ofåÊCALåÊfaculty, and The role ofåÊCALåÊin facilitating campus dialogue and advocacy on issues related to diversity and inclusion   Please do not upload a separate list of references, the faculty profile will prompt you for reference information in a separate section. References will not be contacted until a candidate is being considered for a campus visit. Individuals wishing to nominate candidates should submit a letter of nomination and complete contact information for the nominee to Chair, College of Arts and Letters Dean Search Committee,åÊMSCåÊ7503, James Madison University, Harrisonburg, VA 22807. Fax: 540-568-2995.åÊ James Madison University is an equal opportunity employer committed to creating and supporting a diverse and inclusive work and educational community that is free of all forms of discrimination. This institution does not tolerate discrimination or harassment on the basis of age, color, disability, gender identity, genetic information, national origin, parental status, political affiliation, race, religion, sex, sexual orientation or veteran status.  

						
							
								
								 
							
						
		
			NOTES:
			
				Additional Salary Information: Salary will be commensurate with experience.","JMU is a selective, public, comprehensive university with an enrollment of more than 20,000 students located in the scenic Shenandoah Valley, two hours southwest of Washington, D.C. JMU has eight colleges (Arts and Letters, Business, Education, Health and Behavioral Studies, Honors, Integrated Science and Engineering, Science and Mathematics, and Visual and Performing Arts) and The Graduate School.... JMU has an excellent national reputation involving strong student-centered undergraduate and graduate education. The university provides a distinct educational experience that combines a diversity of degree programs and learning opportunities offered by many larger institutions with an engaged, teacher-centered faculty traditionally found at a selective, liberal arts college. The university is committed to addressing complex, real-world problems and contemporary issues throughout its curriculum. JMU has received national recognition as one of the top public master‰Ûªs-level schools in the South (U.S. News and World Report). For more information about the university, visit www.jmu.edu.
			Show more
			Show less",http://careers.historians.org/jobs/10388798/dean-college-of-arts-and-letters,1888.0,20779.0,80000000.0,1908.0,721.0,1375.0,38.435092,-78.8697548
African American History,Case Western Reserve University,"Cleveland, Ohio","October 18, 2017",2 Weeks Ago,Other,African American,Doctorate,Open,- Experienced,Full-Time Tenure-Track/Tenured Faculty,"The Department of History at Case Western Reserve University seeks candidates for a position in African-American history at the rank of Assistant Professor, tenure-track. All categories and specializations in the field are welcome. The successful candidate for this job will have the opportunity to affiliate and work with the Social Justice Institute of the College of Arts & Sciences. The successful candidate will also teach graduate courses in African-American history and the candidate‰Ûªs field of specialty as well as undergraduate courses in African-American and U.S history. Finally, the successful candidate should have a strong commitment to research and publication and teaching excellence. The teaching load for this position is two courses per semester. Candidates should submit a letter of application stating research and teaching interests, a curriculum vitae, a graduate transcript, a writing sample, and relevant teaching evaluations addressed to RenÌ©e Sentilles, Chair, African-American History Search Committee, Department of History, Mather House 104, Cleveland, OH 44106-7107 as a single PDF file sent to Ms. Katie Nabors at africanamericanhistorysearch@case.edu. Candidates should also arrange for three letters of reference to be submitted in PDF format to Ms. Nabors either independently from the referees or from Interfolio or another digital application service. Applications are due December 1, 2017. In employment, as in education, Case Western Reserve University is committed to Equal Opportunity and Diversity. Women, veterans, members of underrepresented minority groups, and individuals with disabilities are especially encouraged to apply. Case Western Reserve University provides reasonable accommodations to applicants with disabilities. Applicants who require a reasonable accommodation for any part of the application and hiring process should contact the Office of Inclusion, Diversity, and Equal Opportunity at (216) 368-8877 to request a reasonable accommodation. Determinations as to granting reasonable accommodations for any applicant will be made on a case-by-case basis.","Mission: Case Western Reserve University improves and enriches people's lives through research that capitalizes on the power of collaboration, and education that dramatically engages our students.Case Western Reserve University is an independent research university located in Cleveland's University Circle, a square mile urban district of cultural, medical, educational, religious, and social servic...e institutions. CWRU holds membership in the Association of American Universities, and is fully accredited by the Higher Learning Commission and by several nationally recognized professional accrediting associations.
			Show more
			Show less",http://careers.historians.org/jobs/10388797/african-american-history,6219.0,5121.0,1660000000.0,1826.0,155.0,3360.0,41.50434129999999,-81.6083838
"Postdoctoral Fellowships in Global, Comparative, or International Affairs",Buffett Institute at Northwestern,"Evanston, Illinois","October 18, 2017",2 Weeks Ago,World/Global,"Contemporary, Social, World/Global",Doctorate,Starting at 55000.00,- Entry Level,Fellowship,"The Buffett Institute for Global Studies at NorthwesternåÊUniversity invites applications for two-year postdoctoral fellowships in theåÊstudy of global, comparative, or internationalåÊaffairs. Up to three fellowsåÊwill be selected. Applications are welcome from scholars from any range ofåÊsocial science or interdisciplinary perspectives whose research addressesåÊglobal, international, or transnational social processes, problems, governance,åÊor conflicts. Fellowships will run from September 1, 2018 to August 31, 2020. åÊ The salary is $55,000. In addition, fellows are eligible foråÊ$5,000 per year to fund research and conference travel and up to $2,000 inåÊreimbursement for allowable relocationåÊexpenses in the first year. This is aåÊfull-time, benefits-eligible position. åÊ Applicants must have received their PhD between December 14,åÊ2015, and August 31, 2018. åÊ Application deadline is December 15, 2017, at 5 p.m. (CT). åÊ For a complete position description and applicationåÊprocedures, visit:åÊhttp://buffett.northwestern.edu/funding-grants/buffett-postdocs.html åÊ Northwestern University is an Equal Opportunity, AffirmativeåÊAction Employer of all protected classes including veterans and individualsåÊwith disabilities. Women andåÊminorities are encouraged to apply. Hiring isåÊcontingent upon eligibility to work in the United States.  

						
							
								
								 
							
						
		
			NOTES:
			
				3 openings.Additional Salary Information: The salary is $55,000. In addition, fellows are eligible for $5,000 per year to fund research and conference travel and up to $2,000 in reimbursement for allowable relocation expenses in the first year. This is a full-time, benefits-eligible position.","Buffett Institute at Northwestern University addresses critical global issues through collaborative research, public dialogue, and engaged scholarship.",http://careers.historians.org/jobs/10388826/postdoctoral-fellowships-in-global-comparative-or-international-affairs,,,,,,,42.0522303,-87.6776854
History of Science,Case Western Reserve University,"Cleveland, Ohio","October 18, 2017",2 Weeks Ago,Other,Science/Medicine/Technology,Doctorate,Open,- Experienced,Full-Time Tenure-Track/Tenured Faculty,"The Department of History at Case Western Reserve University seeks candidates for a historian of the physical or natural sciences, at the rank of Assistant Professor, tenure-track. Regional and period specialty are open. The successful candidate will teach a graduate seminar in the history of science as part of the department‰Ûªs graduate program in History of Science, Technology, Environment, and Medicine, and undergraduate surveys in history of science. A strong commitment to research and publication and demonstrated teaching excellence are required. The teaching load for this position is two courses per semester. Candidates should submit a letter of application stating research and teaching interests, a curriculum vitae, a graduate transcript, a writing sample, and relevant teaching evaluations addressed to Jonathan Sadowsky, Chair, History of Science Search Committee, Department of History, Mather House 104, Cleveland, OH 44106-7107 as a single PDF file sent to Ms. Katie Nabors at historyofsciencesearch@case.edu. Candidates should also arrange for three letters of reference to be submitted in PDF format to Ms. Nabors either independently from the referees or from Interfolio or another digital application service. Applications are due December 1, 2017. In employment, as in education, Case Western Reserve University is committed to Equal Opportunity and Diversity. Women, veterans, members of underrepresented minority groups, and individuals with disabilities are especially encouraged to apply. Case Western Reserve University provides reasonable accommodations to applicants with disabilities. Applicants who require a reasonable accommodation for any part of the application and hiring process should contact the Office of Inclusion, Diversity, and Equal Opportunity at (216) 368-8877 to request a reasonable accommodation. Determinations as to granting reasonable accommodations for any applicant will be made on a case-by-case basis.","Mission: Case Western Reserve University improves and enriches people's lives through research that capitalizes on the power of collaboration, and education that dramatically engages our students.Case Western Reserve University is an independent research university located in Cleveland's University Circle, a square mile urban district of cultural, medical, educational, religious, and social servic...e institutions. CWRU holds membership in the Association of American Universities, and is fully accredited by the Higher Learning Commission and by several nationally recognized professional accrediting associations.
			Show more
			Show less",http://careers.historians.org/jobs/10388782/history-of-science,6219.0,5121.0,1660000000.0,1826.0,155.0,3360.0,41.50434129999999,-81.6083838
Middle Eastern and/ or African History Assistant Professor,"California State University, Fresno","Fresno, California","October 17, 2017",2 Weeks Ago,Middle East/North Africa,"Africa, Middle East/North Africa",Doctorate,Open,- Experienced,Full-Time Tenure-Track/Tenured Faculty,"California State University, FresnoCollege of Social SciencesHistoryVacancy # 13353http://www.fresnostate.edu/socialsciences/Middle Eastern and/or African HistoryAssistant ProfessorCalifornia State University, Fresno is an engaged University. We focus on broadening students' intellectual horizons, fostering lifelong learning skills, developing the leaders of tomorrow, promoting community involvement, and instilling an appreciation of world cultures. We nurture cultural competence by celebrating the rich diversity of the campus community and welcoming the participation of all. Members of the University community are expected to work effectively with faculty, staff and students from diverse ethnic, cultural and socioeconomic backgrounds. For information on the University's commitment and dedication to creating a university known for its integrity, civility, equity, respect and ethical behavior, please visit: http://www.fresnostate.edu/academics/diversity  Available for Academic Year: 2018/2019. Fresno State has been recognized as a Hispanic-Serving Institution (HSI); an Asian American/Native American/Pacific Islander-Serving Institution (AANAPISI); and has been designated to the Community Engagement Classification by the Carnegie Foundation for the Advancement of Teaching. Faculty members gain a clear path to tenure through the University's Probationary Plan Process. Salary placement depends upon academic preparation and professional experience. California State University, Fresno is a vibrant and growing campus.When necessary, the University may decide to make more than one faculty appointment from a single search.  The Department of History at California State University, Fresno invites applications for a tenure-track assistant professor in Middle Eastern and/or African history. Specialists of any period may apply. Candidates with comparative, transnational, trans-imperial, or diasporic perspectives, or whose work touches on colonialism, comparative ethnicities, and/or border studies are especially encouraged to apply. The successful candidate will teach undergraduate and graduate students in a 4/4 load. The teaching load is typically reduced during the first two years of the appointment, with competitive course releases available after that. The successful candidate will maintain a commitment to teaching excellence, publishing, student advising, and engaging in university service.The Department of History at California State University, Fresno employs 16 tenured and tenure-track professors who serve hundreds of majors and graduate students. We are an intellectually active department with expertise in a range of fields, and we publish with academic and trade presses, write op-ed pieces for national newspapers, work with National Public Radio, and engage with local community organizations. Our graduate students teach at high schools and community colleges, pursue careers in museums and archives, and continue their education in Ph.D. programs.Required Education: An earned doctorate (Ph.D.) from an accredited institution in Middle Eastern or African history, or closely related fields is required. A Ph.D. in history is preferred. Doctorate must be completed by August 16, 2018.Required Experience: The successful candidate must demonstrate a commitment to working effectively with faculty, staff, and students from diverse ethnic, cultural, and socioeconomic backgrounds.Preferred Qualifications: Candidates with teaching experience at the undergraduate level, evidence of a research agenda, and an ability to teach World History are especially encouraged to apply.Application Procedures: Review of applications will begin on November 20, 2017, and will continue until the position is filled. To apply, please complete an online application at jobs.fresnostate.edu and attach the following: 1) a cover letter specifically addressing required experience and preferred qualifications; 2) a curriculum vitae; and 3) three current letters of recommendation. Finalists will be required to submit 1) official transcripts; and 2) a writing sample. For inquiries contact: Dr. Lori Clune, Search Committee Chair, Department of History, M/S SS 21, 5340 N. Campus Drive, Fresno, CA 93740-8019. Phone: 559-278-8895; email: lclune@csufresno.eduOther: In compliance with the Annual Security Report & Fire Safety Report of Campus Security Policy and Campus Crime Statistics Act, California State University, Fresno has made crime-reporting statistics available to applicants, students, and employees on-line at http://www.fresnostate.edu/police/clery/index.shtml. Print copies are available by request from the Campus Police Department.A background check (including criminal records check) must be completed satisfactorily for this position. An offer of employment may be withdrawn or employment may be terminated based upon the results of the background investigation.The person holding this position is considered a ""mandated reporter"" under the California Child Abuse and Neglect Reporting Act and is required to comply with the requirements set forth in CSU Executive Order 1083 Revised July 21, 2017 as a condition of employment. You can obtain a copy of this Executive order by accessing the following web site: http://www.calstate.edu/eo/EO-1083.html.California State University, Fresno is an Affirmative Action/Equal Opportunity Employer. We consider qualified applicants for employment without regard to race, religion, color, national origin, ancestry, age, sex, gender, gender identity, gender expression, sexual orientation, genetic information, medical condition, disability, marital status, or protected veteran status. Copyright å©2017 Jobelephant.com Inc. All rights reserved.Posted by the FREE value-added recruitment advertising agency jeid-53d160475360b14996106791caf036ec  

						
							
								
								 
							
						
							
								Internal Number: 1105399",,http://careers.historians.org/jobs/10386283/middle-eastern-and-or-african-history-assistant-professor,2901.0,21504.0,146300000.0,1911.0,388.0,1194.0,36.8133636,-119.7460937
Political Papers Archivist/ Assistant Professor,University of West Georgia,"Carrollton, Georgia","October 17, 2017",2 Weeks Ago,Political,"Archival/Library/Information Science, Political, US/North America",Masters,Starting at 63360.00,- Experienced,Full-Time Tenure-Track/Tenured Faculty,"The University of West Georgia Library is seeking applicants of diverse backgrounds for a new position of Political Papers Archivist within the growing department of Special Collections. Reporting to the Head of Special Collections, and leveraging the extensive political archival and political oral history holdings, this position will provide leadership in the management and growth of the collections and will play a critical role in connecting students, faculty, the regional community, and scholars to these valuable primary sources. While the work of Special Collections includes the regular activities of lifting and shelving boxes weighing up to 40 pounds, we actively encourage applicants of diverse abilities to apply for this position and are committed to providing reasonable accommodations. Candidates may qualify with either an MLIS or a PhD. Applications are rolling with first review starting after October 27. This is a 12-month tenure track faculty position starting at the rank of Assistant Professor with a salary of $63,360.åÊ Interested candidates should submit a cover letter, curriculum vitae, unofficial transcripts, and contact information for three professional references to the chair of the search committee, Blynne Olivieri (bolivier@westga.edu). To ensure consideration, please submit your application by October 27, 2017. The review process will begin immediately thereafter. Full job description and application instructions are available at http://facjobs.westga.edu. Requirements  Either a Master's degree accredited by the American Library Association with coursework in archives (and a second master's degree in political science, history, or related field preferred);åÊor a PhD in political science, history, or related field and completion of the Academy of Certified Archivists (ACA) certificate within 12 months of hire Demonstrated archival experience and understanding of best practices Experience working with diverse populations Superior written and verbal communication skills Demonstrated ability to work collegially within and across organizations Evidence of creativity, initiative, and commitment to professional growth","The University of West Georgia (UWG), a charter member of the University System of Georgia (USG), is a comprehensive, SACSCOC level VI, public university, based in Carrollton, Georgia with multiple instructional sites and a strong virtual presence. UWG supports students in their efforts to complete degrees in relevant programs, valuing liberal arts and professional preparation. Through effective a...nd innovative teaching, experiential learning, scholarship, research, creative endeavor, and public service, UWG equips graduates to engage with and discover knowledge. UWG is dedicated to building on existing strengths and developing distinctive academic, research, and co?curricular programs and services that respond to economic development and identified regional, state and global needs, thus empowering alumni to contribute responsibly and creatively to a complex 21st Century global society.
			Show more
			Show less",http://careers.historians.org/jobs/10385803/political-papers-archivist-assistant-professor,2153.0,11155.0,,1906.0,644.0,,33.57355870000001,-85.1027726
